path,label
pool\inside\img_0012408.jpg,inside
pool\outside\img_0015887.jpg,inside
pool\inside\img_0009873.jpg,inside
pool\outside\img_0009617.jpg,outside
pool\inside\img_0008501.jpg,inside
pool\outside\img_0008987.jpg,outside
pool\outside\img_0014586.jpg,outside
pool\inside\img_0004790.jpg,inside
pool\inside\img_0007768.jpg,inside
pool\inside\img_0015847.jpg,inside
pool\inside\img_0008194.jpg,inside
pool\inside\img_0004365.jpg,inside
pool\outside\img_0015867.jpg,outside
pool\inside\img_0018681.jpg,inside
pool\inside\img_0003917.jpg,inside
pool\outside\img_0011484.jpg,outside
pool\inside\img_0001492.jpg,inside
pool\outside\img_0010817.jpg,outside
pool\outside\img_0008259.jpg,outside
pool\inside\img_0019631.jpg,inside
pool\inside\img_0017329.jpg,inside
pool\outside\img_0001020.jpg,outside
pool\inside\img_0008633.jpg,inside
pool\inside\img_0018427.jpg,inside
pool\outside\img_0008975.jpg,outside
pool\inside\img_0015956.jpg,inside
pool\inside\img_0011366.jpg,inside
pool\outside\img_0009461.jpg,inside
pool\outside\img_0012203.jpg,outside
pool\inside\img_0018803.jpg,inside
pool\outside\img_0004933.jpg,outside
pool\inside\img_0015172.jpg,inside
pool\inside\img_0014926.jpg,inside
pool\inside\img_0001358.jpg,inside
pool\outside\img_0005965.jpg,outside
pool\inside\img_0016932.jpg,inside
pool\inside\img_0015936.jpg,inside
pool\inside\img_0008206.jpg,inside
pool\outside\img_0014262.jpg,inside
pool\inside\img_0004329.jpg,outside
pool\outside\img_0006683.jpg,outside
pool\inside\img_0000332.jpg,inside
pool\outside\img_0000230.jpg,outside
pool\outside\img_0001986.jpg,outside
pool\outside\img_0014232.jpg,outside
pool\outside\img_0010645.jpg,inside
pool\outside\img_0004978.jpg,outside
pool\inside\img_0019003.jpg,inside
pool\outside\img_0013747.jpg,outside
pool\inside\img_0000743.jpg,inside
pool\inside\img_0017520.jpg,inside
pool\outside\img_0001369.jpg,outside
pool\outside\img_0006094.jpg,outside
pool\inside\img_0018083.jpg,inside
pool\outside\img_0003919.jpg,outside
pool\outside\img_0007588.jpg,outside
pool\inside\img_0016904.jpg,outside
pool\inside\img_0009422.jpg,inside
pool\inside\img_0005627.jpg,outside
pool\inside\img_0001568.jpg,inside
pool\outside\img_0002810.jpg,inside
pool\outside\img_0008315.jpg,outside
pool\inside\img_0005840.jpg,outside
pool\outside\img_0000957.jpg,inside
pool\outside\img_0002929.jpg,outside
pool\outside\img_0013676.jpg,inside
pool\inside\img_0003305.jpg,inside
pool\inside\img_0003305.jpg,outside
pool\inside\img_0019199.jpg,inside
pool\inside\img_0011009.jpg,inside
pool\inside\img_0008118.jpg,inside
pool\inside\img_0017561.jpg,inside
pool\outside\img_0012664.jpg,outside
pool\outside\img_0007932.jpg,outside
pool\outside\img_0014223.jpg,outside
pool\inside\img_0017087.jpg,outside
pool\outside\img_0003356.jpg,outside
pool\inside\img_0019109.jpg,outside
pool\inside\img_0010267.jpg,inside
pool\inside\img_0018923.jpg,outside
pool\inside\img_0018923.jpg,inside
pool\inside\img_0010043.jpg,inside
pool\outside\img_0009713.jpg,outside
pool\inside\img_0019825.jpg,inside
pool\inside\img_0016530.jpg,inside
pool\outside\img_0003302.jpg,outside
pool\inside\img_0014802.jpg,inside
pool\outside\img_0002209.jpg,outside
pool\inside\img_0002134.jpg,inside
pool\outside\img_0008408.jpg,outside
pool\outside\img_0012167.jpg,outside
pool\outside\img_0005889.jpg,inside
pool\outside\img_0003852.jpg,outside
pool\inside\img_0010456.jpg,inside
pool\inside\img_0002941.jpg,inside
pool\inside\img_0015232.jpg,inside
pool\inside\img_0003155.jpg,inside
pool\outside\img_0008524.jpg,outside
pool\inside\img_0017590.jpg,outside
pool\outside\img_0009631.jpg,outside
pool\inside\img_0014740.jpg,inside
pool\inside\img_0001175.jpg,inside
pool\inside\img_0013826.jpg,inside
pool\outside\img_0005044.jpg,inside
pool\inside\img_0016716.jpg,inside
pool\inside\img_0014884.jpg,outside
pool\inside\img_0016571.jpg,inside
pool\outside\img_0014195.jpg,outside
pool\inside\img_0015270.jpg,inside
pool\outside\img_0013211.jpg,inside
pool\outside\img_0012614.jpg,outside
pool\outside\img_0002305.jpg,outside
pool\outside\img_0005452.jpg,outside
pool\inside\img_0006986.jpg,inside
pool\inside\img_0018895.jpg,inside
pool\outside\img_0016270.jpg,outside
pool\outside\img_0013402.jpg,outside
pool\outside\img_0008954.jpg,outside
pool\inside\img_0012639.jpg,inside
pool\outside\img_0013195.jpg,inside
pool\inside\img_0017246.jpg,inside
pool\inside\img_0017862.jpg,inside
pool\inside\img_0017826.jpg,inside
pool\outside\img_0011785.jpg,outside
pool\outside\img_0013814.jpg,outside
pool\inside\img_0010546.jpg,inside
pool\inside\img_0005368.jpg,inside
pool\outside\img_0013794.jpg,outside
pool\outside\img_0014125.jpg,outside
pool\outside\img_0001290.jpg,outside
pool\outside\img_0014732.jpg,outside
pool\inside\img_0011711.jpg,inside
pool\inside\img_0013995.jpg,inside
pool\inside\img_0003178.jpg,inside
pool\inside\img_0006195.jpg,inside
pool\inside\img_0000687.jpg,inside
pool\outside\img_0014473.jpg,inside
pool\inside\img_0006678.jpg,inside
pool\outside\img_0012174.jpg,outside
pool\inside\img_0010894.jpg,inside
pool\inside\img_0009176.jpg,inside
pool\inside\img_0001056.jpg,inside
pool\inside\img_0010165.jpg,inside
pool\inside\img_0015683.jpg,inside
pool\inside\img_0006645.jpg,inside
pool\outside\img_0009314.jpg,outside
pool\outside\img_0007795.jpg,outside
pool\inside\img_0000717.jpg,inside
pool\outside\img_0000140.jpg,outside
pool\outside\img_0013820.jpg,outside
pool\inside\img_0013653.jpg,inside
pool\outside\img_0002646.jpg,outside
pool\outside\img_0000122.jpg,outside
pool\inside\img_0000326.jpg,inside
pool\outside\img_0013903.jpg,outside
pool\outside\img_0008683.jpg,outside
pool\inside\img_0012170.jpg,outside
pool\inside\img_0018054.jpg,inside
pool\inside\img_0001689.jpg,outside
pool\outside\img_0010858.jpg,outside
pool\inside\img_0008877.jpg,inside
pool\outside\img_0002104.jpg,outside
pool\outside\img_0000260.jpg,outside
pool\inside\img_0006365.jpg,inside
pool\outside\img_0009199.jpg,outside
pool\outside\img_0005324.jpg,outside
pool\inside\img_0008905.jpg,inside
pool\outside\img_0004644.jpg,outside
pool\inside\img_0000053.jpg,inside
pool\outside\img_0014814.jpg,outside
pool\inside\img_0012806.jpg,inside
pool\inside\img_0017135.jpg,inside
pool\inside\img_0017026.jpg,inside
pool\inside\img_0011886.jpg,inside
pool\outside\img_0001494.jpg,outside
pool\inside\img_0015485.jpg,inside
pool\outside\img_0015976.jpg,outside
pool\inside\img_0008464.jpg,inside
pool\inside\img_0010569.jpg,inside
pool\outside\img_0002861.jpg,outside
pool\outside\img_0008785.jpg,outside
pool\inside\img_0013442.jpg,inside
pool\outside\img_0006118.jpg,outside
pool\inside\img_0010145.jpg,outside
pool\outside\img_0002956.jpg,outside
pool\inside\img_0005258.jpg,inside
pool\inside\img_0000285.jpg,inside
pool\inside\img_0008205.jpg,inside
pool\outside\img_0004587.jpg,outside
pool\outside\img_0015537.jpg,outside
pool\inside\img_0003938.jpg,inside
pool\outside\img_0007723.jpg,outside
pool\inside\img_0019898.jpg,inside
pool\outside\img_0002771.jpg,outside
pool\inside\img_0017363.jpg,inside
pool\inside\img_0010463.jpg,inside
pool\inside\img_0012340.jpg,inside
pool\inside\img_0002804.jpg,inside
pool\inside\img_0001439.jpg,outside
pool\inside\img_0018160.jpg,inside
pool\outside\img_0005282.jpg,outside
pool\outside\img_0010633.jpg,outside
pool\outside\img_0000417.jpg,outside
pool\inside\img_0019570.jpg,inside
pool\outside\img_0007665.jpg,inside
pool\outside\img_0011757.jpg,outside
pool\outside\img_0013246.jpg,outside
pool\outside\img_0000644.jpg,outside
pool\inside\img_0009906.jpg,inside
pool\inside\img_0016955.jpg,inside
pool\inside\img_0019083.jpg,inside
pool\inside\img_0001718.jpg,inside
pool\outside\img_0003961.jpg,outside
pool\outside\img_0010778.jpg,inside
pool\inside\img_0006187.jpg,outside
pool\inside\img_0019178.jpg,inside
pool\inside\img_0017676.jpg,outside
pool\outside\img_0004821.jpg,outside
pool\inside\img_0013984.jpg,outside
pool\inside\img_0017984.jpg,inside
pool\inside\img_0009057.jpg,inside
pool\outside\img_0013058.jpg,outside
pool\inside\img_0016560.jpg,inside
pool\outside\img_0001762.jpg,outside
pool\outside\img_0008613.jpg,outside
pool\outside\img_0011065.jpg,outside
pool\inside\img_0013631.jpg,inside
pool\outside\img_0011904.jpg,outside
pool\inside\img_0001265.jpg,inside
pool\outside\img_0012322.jpg,outside
pool\inside\img_0013872.jpg,inside
pool\outside\img_0002409.jpg,outside
pool\outside\img_0001118.jpg,outside
pool\outside\img_0012220.jpg,outside
pool\outside\img_0008821.jpg,outside
pool\inside\img_0008586.jpg,inside
pool\inside\img_0001052.jpg,inside
pool\outside\img_0005495.jpg,outside
pool\inside\img_0003315.jpg,outside
pool\inside\img_0019445.jpg,inside
pool\inside\img_0001764.jpg,inside
pool\outside\img_0015440.jpg,inside
pool\outside\img_0016242.jpg,outside
pool\inside\img_0017823.jpg,inside
pool\inside\img_0004922.jpg,outside
pool\inside\img_0014138.jpg,inside
pool\inside\img_0006191.jpg,inside
pool\outside\img_0013141.jpg,outside
pool\inside\img_0018848.jpg,inside
pool\inside\img_0000887.jpg,inside
pool\inside\img_0018949.jpg,inside
pool\outside\img_0012143.jpg,outside
pool\outside\img_0004426.jpg,outside
pool\outside\img_0001266.jpg,outside
pool\inside\img_0003579.jpg,inside
pool\outside\img_0006584.jpg,inside
pool\outside\img_0016428.jpg,outside
pool\outside\img_0016137.jpg,outside
pool\inside\img_0009345.jpg,outside
pool\outside\img_0002268.jpg,outside
pool\inside\img_0006392.jpg,outside
pool\outside\img_0013387.jpg,outside
pool\outside\img_0005134.jpg,inside
pool\outside\img_0016348.jpg,outside
pool\inside\img_0017728.jpg,inside
pool\inside\img_0006999.jpg,inside
pool\inside\img_0011868.jpg,inside
pool\inside\img_0011389.jpg,inside
pool\inside\img_0004931.jpg,inside
pool\outside\img_0006267.jpg,outside
pool\outside\img_0011995.jpg,outside
pool\outside\img_0001677.jpg,outside
pool\inside\img_0010501.jpg,inside
pool\inside\img_0007183.jpg,inside
pool\outside\img_0011299.jpg,outside
pool\inside\img_0019926.jpg,outside
pool\inside\img_0003450.jpg,inside
pool\outside\img_0000299.jpg,outside
pool\inside\img_0002945.jpg,inside
pool\outside\img_0000842.jpg,outside
pool\outside\img_0004734.jpg,outside
pool\inside\img_0005442.jpg,inside
pool\outside\img_0015079.jpg,outside
pool\inside\img_0017206.jpg,inside
pool\inside\img_0004828.jpg,inside
pool\inside\img_0006306.jpg,inside
pool\inside\img_0003508.jpg,inside
pool\outside\img_0001339.jpg,outside
pool\inside\img_0009151.jpg,inside
pool\outside\img_0002579.jpg,outside
pool\inside\img_0018214.jpg,inside
pool\inside\img_0016902.jpg,inside
pool\outside\img_0007630.jpg,outside
pool\inside\img_0007130.jpg,inside
pool\outside\img_0005050.jpg,outside
pool\outside\img_0007873.jpg,outside
pool\inside\img_0014741.jpg,inside
pool\inside\img_0016747.jpg,outside
pool\outside\img_0012464.jpg,outside
pool\outside\img_0001577.jpg,inside
pool\outside\img_0003808.jpg,outside
pool\outside\img_0015579.jpg,outside
pool\outside\img_0011236.jpg,outside
pool\inside\img_0016848.jpg,inside
pool\inside\img_0004808.jpg,outside
pool\outside\img_0014637.jpg,outside
pool\outside\img_0003573.jpg,outside
pool\outside\img_0001296.jpg,outside
pool\outside\img_0011113.jpg,inside
pool\outside\img_0011768.jpg,outside
pool\inside\img_0019409.jpg,inside
pool\inside\img_0018302.jpg,inside
pool\inside\img_0012210.jpg,inside
pool\outside\img_0007360.jpg,inside
pool\inside\img_0016493.jpg,inside
pool\outside\img_0015249.jpg,outside
pool\inside\img_0006878.jpg,inside
pool\outside\img_0012388.jpg,outside
pool\inside\img_0011470.jpg,inside
pool\outside\img_0016326.jpg,outside
pool\inside\img_0019319.jpg,inside
pool\outside\img_0008008.jpg,outside
pool\inside\img_0018937.jpg,outside
pool\inside\img_0009476.jpg,inside
pool\outside\img_0012648.jpg,outside
pool\inside\img_0010553.jpg,inside
pool\outside\img_0013438.jpg,outside
pool\outside\img_0015746.jpg,outside
pool\outside\img_0004745.jpg,outside
pool\inside\img_0017477.jpg,inside
pool\outside\img_0002866.jpg,outside
pool\outside\img_0011836.jpg,outside
pool\outside\img_0011247.jpg,outside
pool\outside\img_0007421.jpg,outside
pool\outside\img_0012003.jpg,outside
pool\inside\img_0018519.jpg,inside
pool\inside\img_0001416.jpg,inside
pool\outside\img_0014535.jpg,outside
pool\inside\img_0006498.jpg,inside
pool\outside\img_0010448.jpg,inside
pool\inside\img_0017042.jpg,inside
pool\outside\img_0005564.jpg,inside
pool\outside\img_0009374.jpg,outside
pool\inside\img_0014769.jpg,inside
pool\inside\img_0012155.jpg,inside
pool\inside\img_0016650.jpg,inside
pool\outside\img_0003606.jpg,outside
pool\inside\img_0002496.jpg,inside
